tweet_id,sentiment,text,tweet_created,tweet_location,user_timezone
1,neutral,What @dhepburn said.,24/02/2015 11:35,,Eastern Time (US & Canada)
2,positive,plus you've added commercials to the experience... tacky.,24/02/2015 11:15,,Pacific Time (US & Canada)
3,neutral,I didn't today... Must mean I need to take another trip!,24/02/2015 11:15,Lets Play,Central Time (US & Canada)
4,negative,"it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",24/02/2015 11:15,,Pacific Time (US & Canada)
5,negative,and it's a really big bad thing about it,24/02/2015 11:14,,Pacific Time (US & Canada)
6,negative,"seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",24/02/2015 11:14,,Pacific Time (US & Canada)
7,positive,"yes, nearly every time I fly VX this __ar worm_ won__ go away :)",24/02/2015 11:13,San Francisco CA,Pacific Time (US & Canada)
8,neutral,"Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",24/02/2015 11:12,Los Angeles,Pacific Time (US & Canada)
9,positive,"Well, I didn't_but NOW I DO! :-D",24/02/2015 11:11,San Diego,Pacific Time (US & Canada)
10,positive,"it was amazing, and arrived an hour early. You're too good to me.",24/02/2015 10:53,Los Angeles,Eastern Time (US & Canada)
11,neutral,did you know that suicide is the second leading cause of death among teens 10-24,24/02/2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
12,positive,I &lt;3 pretty graphics. so much better than minimal iconography. :D,24/02/2015 10:30,NYC,America/New_York
13,positive,This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,24/02/2015 10:30,NYC,America/New_York
14,positive,@virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,24/02/2015 10:21,,Eastern Time (US & Canada)
15,positive,Thanks!,24/02/2015 10:15,"San Francisco, CA",Pacific Time (US & Canada)
16,negative,SFO-PDX schedule is still MIA.,24/02/2015 10:01,"palo alto, ca",Pacific Time (US & Canada)
